Nº Contrato;Apelido Cliente;Nome Cliente;Categoria Cliente;Contato;Fone;Email;Referência;Status;Tipo Contrato;Início Vigência;Fim Vigência;Data Cadastro;Próx. Reajuste;Obs
"2903";"53057166000100 HKM FACILITIE";"HKM FACILITIES LTDA";;"Yuri";"(27) 99934-6327";"tecnologia@hkm.ind.brluciana.javarini@hkm.ind.brnfs01@atasistemas.com.br";"CONTRATO MIGRADO PARA 435";"CANCELADO";"Acesso Locação SW + Manutenção";"14/11/2024";"13/11/2025";"21/11/2024 13:44";"13/11/2025";"Contrato de manutenção do software acesso.|- Licença Mensal do software Secullum Acesso ( 450 pessoas | 5 equipamentos ativos )||Linha doi tempo:|07/07/2025: Adicional + 01equipamentos Secullum ponto virtual. Passando de R$ 2.615,00 para R$ 2.650,00.||26/09/2025 - CNPJ encerrado. Cliente solicitou que o faturamento seja para o cnpj 28.862.899/0001 OTP Participações. (e-mail de luiz.oliveira@hkm.ind.br 25/09/2025). Novo contrato 435.||"
"2904";"11281512000190 COOV CENTRO";"COOV - CENTRO DE ORTODONTIA E LOCACAO DE CONSULTORIOS ODONTOLOGICOS VI";;"Adrileiny Oliveira";"(27) 99748-0962";"retaguarda.vilavelha@redeodonto.com.brnfs01@atasistemas.com.br";"Valor R$120,10 Mensal I TopPonto 10F";"ATIVO";"Ponto Topdata";"13/11/2024";"12/11/2026";"21/11/2024 14:20";"12/11/2026";"Serviço de manutenção ao software de ponto.|Licença do Top Ponto Web ( Até 10 Funcionários )||# 23/04/2025: bloqueado por inadimplência.|# 12/05/2025, desbloqueado por adimplência.||27/11/2025 - Renovação por IGPM.|Em percentual:   0,9242%|Em fator de multiplicação:   1,009242|Os valores do índice utilizados neste cálculo foram:|Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$119,00 * 1,009242|Valor atualizado  =  R$120,10"
"0000";"ATA SISTEMAS DE IDENTIFICACAO";"ATA SISTEMAS DE IDENTIFICACAO LTDA";;"João Areal";"31 99809-1200";"contrato@atasistemas.com.br";"CONTRATO TESTE";"ATIVO";"SERVIÇOS";"11/12/2024";"10/12/2025";"11/12/2024 15:08";"11/12/2025";"Contrato crido para teste de faturamento."
"2233";"12377080000188 ATACADO UNIAO";"ATACADO UNIAO LTDA";;"Financeiro";"27 3089-8380";"ti.recebimento@fortbras.com.brnfs01@atasistemas.com.br";"Valor R$1.140,00 Mensal | Locação Acesso com Suporte Remoto";"ATIVO";"Acesso Locação SW + Manutenção";"17/10/2023";"17/10/2026";"07/11/2024 17:55";"17/10/2026";"Descrição: Contrato de manutenção ao sistema de controle de acesso.||- Licença Mensal Secullum Acesso ( 1000 pessoas / 07 Equipamentos )|- Serviço técnico de apoio e suporte remoto.||* 12/01/2023 - Adicional para +1000 acessos, passando de 1000 para o total de 2000 acessos ativos.|Passando de R$ 799,87 para o valor mensal de R$ 999,87.||Contrato: reajuste no IPCA.||> Out de 2024: reajustado no IPCA. Passou de R$ 999,87 para R$ 1.044,06."
"2278";"18436234000141 ATUAL INSPEÇÕES";"ATUAL INSPEÇÕES LTDA - ME";;"Financeiro";;"adm01@atualinspecoes.com.brqualidade@atualinspecoes.com.brnfs01@atasistemas.com.br";"Valor R$163,13 Mensal | RHiD";"ATIVO";"Ponto ControlID";"15/10/2024";"15/10/2026";"07/11/2024 17:55";"15/10/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software RHiD ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto.||21/10/2025 - Renovação por IGPM. Acréscimo de 2,82%. Passando de R$158,64 para R$163,13||01/08/2025 - Upgrade de +10 funcionários no RHID, passando de 10 para até 20 funcionários ativos. Realizado o adicional sem custos, conforme a tabela comercial vigente.||"
"2658";"16568789000111 AUTO ELETRICA P";"AUTO ELETRICA PREMIUM LTDA EPP";;"Financeiro";;"autopremium2013@hotmail.comErika.boroto@hotmail.comnfs01@atasistemas.com.br";"Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"05/06/2024";"05/06/2026";"07/11/2024 17:55";"05/06/2026";"Descrição: Serviço de manutenção ao software de ponto.|Licença do Software RHiD ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||24/07/2025 - Renovação por IGPM. Acréscimo de 7,55%. Passando de R$159,00 para R$171,01"
"2647";"28415834000187 AUTO SERVICOS";"AUTO SERVICOS DE MOLAS SIEPIERSKI LTDA";;"Financeiro";"(27) 3721-2414";"pmfabrini2@gmail.comnfs01@atasistemas.com.br";"Active - Mensal TopPonto Web";"ATIVO";"Ponto Topdata";"05/07/2024";"05/07/2026";"07/11/2024 17:55";"05/07/2026";"Descrição: Serviço de manutenção ao software de ponto.|Licença do TopPonto Web  ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto. (Valor Promocional)||24/07/2025 Renovação por IGPM. Acréscimo de 4,39%. Passando de R$129,00 para R$134,67."
"2587";"02359018000100 ED GUARAPARI";"CONDOMINIO DO EDIFICIO GUARAPARI RESIDENCE SERVICE";;"Financeiro";;"adm.guarapariresidence@gmail.commonjardimadm@gmail.comnfs01@atasistemas.com.br";"Valor  R$ 153,63 - Mensal RHiD 10F";"ATIVO";"Ponto ControlID";"06/05/2024";"06/05/2026";"07/11/2024 17:55";"06/05/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software Nuvem RHiD ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto.||16/05/2025 Contrato renovado por IGPM. Acréscimo de 8,51%. Passando de R$141,58 para R$153,63"
"2288";"01856490000195 CONDOMINIO DO E";"CONDOMINIO DO EDIFICIO LIGHT TOWER";;"Financeiro";"(27) 3223-7697";"pennaadmass@gmail.comnfs01@atasistemas.com.br";"Valor R$149,39 Mensal | RHiD";"ATIVO";"Ponto ControlID";"06/10/2024";"06/10/2026";"07/11/2024 17:55";"06/10/2026";"Descrição: Serviço de manutenção ao software de ponto.||- Licença do Software RHiD ( 10 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||21/10/2025 - Renovação por IGPM. Acréscimo de 2,82%. Passando de R$145,28 para R$149,39.|Os valores do índice utilizados neste cálculo foram:|Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42%.|Valor atualizado  =  valor * fator  =  R$145,28 * 1,028284|Valor atualizado  =  R$149,39"
"2662";"27428062000155 HEXACONNECT COM";"HEXACONNECT COMERCIO LTDA";;"Financeiro";"2721042899";"financeiro@chenson.com.brregiane@chenson.com.brJaqueline@chenson.com.brrh.vix@republicvix.com.brnfs01@atasistemas.com.br";"Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"05/06/2024";"05/06/2026";"07/11/2024 17:55";"05/06/2026";"Descrição: Serviço de manutenção ao software de ponto.||Licença do Software RHiD ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||*EMPRESAS DO GRUPO (BANCO DE DADOS SEPARADO PARA CADA EMPRESA)|BEST BAG COMERCIO DE BOLSAS E ACESSORIOS LTDA | 27428062000155|VG GABAR DISTRIBUIDORA E COMERCIO EXTERIOR LTDA | 13563043000127|CHENSON COMERCIO EXTERIOR LTDA | 65514184000234|REPUBLIC. VIX COMERCIO EXTERIOR LTDA | 07170062000190||Linha do Tempo:||25/07/2025 - Renovação por IGPM. Acréscimo de 7,02%. Passando de R$100,00 para R$107,03."
