Nº Contrato;Apelido Cliente;Nome Cliente;Categoria Cliente;Contato;Fone;Email;Referência;Status;Tipo Contrato;Início Vigência;Fim Vigência;Data Cadastro;Próx. Reajuste;Obs
"2687";"16585456000109_CARGOFRIO";"CARGOFRIO LOGISTICA E TRANSPORTES LTDA";;"Glaucia";"27 3354 0696";"faustino@grupomontesion.com.brpagamentos@grupomontesion.com.brrecebimento@grupomontesion.com.brnfs@atasistemas.com.br";"Ata - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"30/08/2024";"30/08/2026";"04/11/2024 19:10";"30/08/2026";"Renovação Ponto + Mod Nuvem + Suporte Remoto|21/10 -  Atualização - 50 colaboradores, no valor  de R$ 279,00 (duzentos e setenta e nove reais)||LINHA DO TEMPO|17/12/2025 - Alterado valor mensal passando de R$457,26 para R$ 620,26 mensais.|07/08/2025 - Renovado contrato pelo IGPM 2,96% passando de 279,00 para 287,26.|04/09/2025 - Acordado com o cliente: o banco do Ponto Secullum Offline permanecerá ativo até 31/12/2025, sem custos. A partir de 01/01/2026, o banco será desativado e realizaremos a migração dos 40 funcionários para a versão Web.|Corrigido o faturamento do Contrato 2687 ATA, acrescentando R$ 170,00, passando de R$ 287,26 para R$ 457,26 mensais, correspondente ao banco do Ponto Web para até 80 funcionários ativos.|17/12/2025 - Realizado a migração dos 40 funcionários que estavam no banco Offline para a versão Web, passando de 80 para até 120 funcionários ativos. Acréscimo de R$163,00, passando de R$457,26 para R$620,26 mensais.|"
"2527";"27142058001106_MUNICIPIODEVIT";"MUNICIPIO DE VITORIA";;"(27)3382-6689";;"krcampos@correio1.vitoria.es.gov.br";"R$ 250,00 Mensal | Ponto Secullum 4 + Manutenção REP";"ATIVO";"Ponto Secullum";"01/04/2024";"01/04/2027";"04/11/2024 19:10";"01/04/2027";"Contrato de suporte mensal, atualizações e peças (cobrado em separado). Dentro da aprovação formal.||09/03/2026- Liberado emissão no mesmo valor,, até segunda ordem.|11/03/2025- Seguir com renovação do contrato considerando o mesmo valor, reajuste será feito posteriormente por meio aditivo(João)|Contrato de R$ 250,00/mês considerando a OS 315/2022, conforme abaixo:|R$ 1.200,00/ano - CONTRATAÇÃO DE MANUTENÇÃO E SUPORTE TÉCNICO: SISTEMA DE CONTROLE DE FREQUÊNCIA SECULLUM 4 E DISPONIBILIZAÇÃO E SUPORTE AO MÓDULO WEB.|R$ 1.800,00/ano - MANUTENÇÃO E SUPORTE TÉCNICO: RELÓGIO DE PONTO BIOMÉTRICO INNER NET BIO. PERÍODO: 1 (UM) ANO||Peças autorizadas em contrato, considerando o faturamento separado:|R$ 120,00 - Display Mont Azul com Blackligh 370mm|R$ 450,00 - Kit Sensor OPU06|R$ 850,00 - PCI Mont Inner Net|R$ 900,00 - Placa FIM 5060|R$ 120,00 - Teclado Manta Innet Net I"
"2824";"01936248000393_MULTIVIXCACHOEI";"EMPRESA BRASILEIRA DE ENSINO PESQUISA E EXTENSAO S/A - MULTIVIX";;"financeiro";"(28)3526-4250";"helton.moratti@multivix.edu.brluiz.spolador@multivix.edu.brconrado.nascimento@multivix.edu.brxml.cachoeiro@multivix.edu.brnfs@atasistemas.com.br";"Locação Mensal Equipamento com Suporte R$ 3380,15 - On Site";"ATIVO";"Acesso Locação Equipamento";"01/10/2024";"01/10/2026";"04/11/2024 19:10";"01/10/2026";"Descrição: Locação de equipamentos de controle de acesso.|||01/09/2025 - Redução de R$ 1.420,00, passando de R$ 4.800,15 para o valor mensal de R$ 3.380,15, referente a retirada de 03 (três) catracas Topdata Revolution 3 ( (1 QR Code) + ( 2  Barras + Prox. 125kHz ) ).|01/10/24 - Renovado contrato pelo IPCA 24 meses.|ATENÇÃO NA RENOVAÇÃO:|- Utilizar o Índice IPCA como base da cálculo do reajuste|- O contrato é de 24 meses iniciais. Não enviar a informação de renovação no 12º mês. Enviar apenas a informação de reajuste de valor e não de renovação.|- A renovação será efetuada no 24º mês, considerando um novo reajuste.||17/04/2023 - Aditivo contratual de +2 catracas, considerando o acréscimo de R$ 900,00, passando de R$ 3.705,00 para R$ 4.605,00.|16/03/2023 - Aditivo contratual passando de 5.000 para 10.000 pessoas ativas. Acréscimo de R$ 195,00, passando de R$ 3.510,00 para R$ 3.705,00.||Contempla a locação de:|06 (seis) catracas Topdata Revolution 3 ( QR Code + Barras + Prox. 125kHz ).|Software integrado de gerenciamento e controle de acesso, limitado até 5.000 pessoas ativas, viabilizando e integrando os equipamentos ao sistema de controle do cliente.||ATÉ 3.000 PESSOAS ATIVAS + R$ 110,00 / mês|ATÉ 5.000 PESSOAS ATIVAS + R$ 155,00 / mês|ATÉ 10.000 PESSOAS ATIVAS + R$ 195,00 / mês|PESSOAS ILIMITADAS + R$ 390,00 / mês"
"2547";"04746729000162 LEVANTINA NATUR";"LEVANTINA NATURAL STONE BRASIL LTDA";;"Andreia Gonçalves";"27 99616-0717";"paula.oliveira@levantina.comgrupo.financeiro@levantina.comnfs@atasistemas.com.br";"R$ 1.305,00 Mensal I Secullum Acesso Web (200P/ 05E) + Manutenção de equipamentos";"ATIVO";"Acesso Manutenção";"15/04/2024";"15/04/2026";"04/11/2024 20:22";"15/04/2026";"Descrição: Contrato de manutenção ao sistema de controle de acesso.||Linha do tempo:|21/03/2025 - Renovado contrato pelo IGPM passando de 825,00 para 894,63.|18/03/2025 - Alteração para Hospedagem Premium Microsoft. Acréscimo de R$ 480,00, passando de R$ 825,00 para o valor mensal de R$ 1.305,00. (apartir de 07/2025)|O contrato contempla:|R$ 525,00  -  Licença do Software de Gerenciciamento Secullum Acesso versão Web (Nuvem) [ 200 Pessoas / 05 Equip. ]|R$ 300,00  -  Contrato de manutenção preventiva BIMESTRAL, mantenção corretiva por demanda e serviço de apoio remoto.||01 (um)  Video Porteiro Intelbras XPE 3101T IP Preto|02 (dois)  Totens Single  [ 1.20M e 2.00M ] em Aço Carbono Pintura Anticorrosão Azul ( Biometria LC + Prox1.125kHz + Interfone )|01 (um)  Controladora de Acesso Inner 2 ( Biometria LC + Prox.125kHz + Interfone )|02 (duas) Centrais de Detecção de Massa CAME Bicanal Antiesmagamento + 04 Laços indutivos|01 (uma) Catraca Topdata Fit 4 LC ( Biometria + Prox.125kHz )"
"2792";"10921911000539 FORTLEV";"FORTLEV INDUSTRIA E COMERCIO DE PLASTICOS LTDA";"FORTLEV";"Luciane da Silva Hertel";"27 99934 5838";"ana.sv@fortlev.com.brthallita.ss@fortlev.com.brmarcella.pa@fortlev.com.brrecepcao-es@fortlev.com.brnfs@atasistemas.com.br";"Valor R$ 1.320,28 Mensal I Suporte e Manutenção";"ATIVO";"Acesso Manutenção";"18/10/2024";"18/10/2026";"04/11/2024 20:22";"18/10/2026";"CONTRATO DE SUPORTE TECNICO|- SISTEMA DE RELATÓRIO| |AQUISIÇÃO:|- PLACA INNER PLUS.| |LINHA DO TEMPO|13/10/2025 REAJUSTE DE CONTRATO PASSANDO DE 1281,46 PARA 1320,28.|* Reajuste em março de 2014 para 719,21.|* Reajuste em abril de 2016 igpm 11,5682| |* 003.475 - 15/05/2015  CATRACA REVOLUTION 3 SMART LICENCA DE USO DO SW GERENCIADOR| |* 003.476 - 15/05/2015: LICENCA DE USO DO SW GERENCIADOR||* 18/10/2024: reajuste IGP-M: de R$ 1092,00 p/ R$ 1.141,46.||* 16/04/2025 Inclusão de 01 motor de portão, passando de 05 para 06 motores no rol de equipamentos para manutenção. Acréscimo de R$ 140,00, passando de R$ 1.141,46 para R$ 1.281,46. Millenium passou a faturar R$ 755,00."
"2636";"30961965000101_GAROTO";"CENTRO ESPORTIVO GAROTO";;"financeiro";"(27) 3340-6062";"financeiro@centroesportivogaroto.com.brsecretaria@centroesportivogaroto.com.brnfs@atasistemas.com.br";"Contrato Mensal Suporte e Manutenção - On Site";"ATIVO";"Acesso Manutenção";"03/07/2024";"03/07/2026";"04/11/2024 20:22";"03/07/2026";"Descrição: Serviço mensal de manutenção de equipamentos de controle de acesso.|Data de início do contrato original (assinado): 28/05/2019.|Data de início da operação e cobranças: 09/12/2019.||+ Contrato mensal de locação do Secullum Clube.Net (3000 pessoas)|+ Manutenção preventiva e corretiva às 02 catracas Topdata Revolution.||LINHA DO TEMPO|20/06/2025 - RENOVAÇÃO DO CONTRATO PELO IGPM 7,02% PASSANDO DE 980,00 PARA 1048,86."
"2279";"38539141000150_EDIFICIOPREMIUM";"CONDOMINIO DO EDIFICIO PREMIUM OFFICE";;"financeiro";"(27)2233-9800";"rosiane@condonal.com.brpremiumoffice123@gmail.comzoraide@condonal.com.bradriana@condonal.com.brnfs@atasistemas.com.br";"Contrato Mensal Suporte e Manutenção - On Site";"ATIVO";"Acesso Manutenção";"07/10/2023";"07/10/2026";"04/11/2024 20:22";"07/10/2026";"Descrição: Contrato de manutenção ao sistema de controle de acesso.|Serviço de manutenção preventiva e corretiva conforme equipamentos abaixo:|i) 02 (duas) Catracas Topdata Revolution Biometria, Proximidade e Urna Coletora|ii) 01 (uma) Catraca Topdata Revolution Biometria e Proximidade|iii) 01 (um) Software de Gerenciamento de Acesso – TopPortaria||LINHA DO TEMPO|REAJUSTE DE CONTRATO PELO IGPM 2,82% PASSANDO DE 397,17 PARA 408,40."
"2403";"53134001000195 CASA BAR & GAST";"CASA BAR & GASTRONOMIA LTDA";;"financeiro";;"embarque@flyhangar.com.br";"Ata - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"15/01/2024";"15/02/2025";"04/11/2024 20:22";"15/02/2025";"Descrição: Contrato de manutenção de sistema de ponto.|O contrato foi migrado da empresa 30383585000137 — BAR E RESTAURANTE COLINAS EIRELI - SERRA que teve o CNPJ encerrado.|Grupo Supermercado Colinas - Adicional CNPJ|14/06/2021 - Reativação do contrato||CONTRATO CANCELADO"
"2631";"04746729000162 LEVANTINA NATUR";"LEVANTINA NATURAL STONE BRASIL LTDA";;"Andreia Gonçalves";"27 99616-0717";"paula.oliveira@levantina.comgrupo.financeiro@levantina.comnfs@atasistemas.com.br";"R$ 443,43 Mensal / Ponto Secullum Offline sem Nuvem - 130 funcionários";"ATIVO";"Ponto Secullum";"17/06/2024";"17/06/2026";"04/11/2024 20:22";"17/06/2026";"Descrição: Contrato de manutenção de sistema de ponto.|+ Locação Mensal do Ponto Secullum Offline para 130 funcionários|+ 03 Visitas anual Grande Vitória e |+ Serviço de Apoio e suporte remoto. |Observação Inclui CNPJ Filial (suporte verificar).||LINHA DO TEMPO||04/06/2025 - Renovado pelo IPCA 5,04% passando de 422,13 para 443,43."
"2826";"28442313000119 RS SANTOS";"RS SANTOS ENGENHARIA LTDA";;"Financeiro";"27  3327-0522";"pedro@refrigeracaosantos.com.brnfs@atasistemas.com.br";"Ata - Mensal Ponto Web I Renovação: licença anual e pagamento mensal";"ATIVO";"Ponto Secullum";"15/10/2024";"15/10/2026";"04/11/2024 20:22";"15/10/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Ponto Secullum 4 + Módulo Web Nuvem.|- Serviço de suporte remoto.||LINHA DO TEMPO:|14/10/2025 -  REAJUSTE DE CONTRATO PELO IGPM 2,82%  PASSANDO DE 164,24 PARA 168,89.|"
