Cliente;Status;Tipo Pagto;Conta Financeira;Documento;Dt. Vencimento;Dt. Pagamento;Valor Título;Valor Pago;
"63460299000187_DUCOCO";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"83801";"10/04/2025";;"480,00";"0,00";
"25200647000198_FAVERO E CANAL";"ABERTO";"BOLETO";"PROTESTO";"96202";"09/05/2025";;"534,00";"0,00";
"18160573000148 - EVOLUTION SPT";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"186801";"10/08/2025";;"166,65";"0,00";
"32464983000103_HMC ALIMENT.";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"198601";"10/08/2025";;"107,77";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"219301";"08/09/2025";;"162,24";"0,00";
"18160573000148 - EVOLUTION SPT";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"186802";"09/09/2025";;"166,65";"0,00";
"32464983000103_HMC ALIMENT.";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"230201";"10/09/2025";;"107,77";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"226501";"18/09/2025";;"1.821,57";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"234001";"28/09/2025";;"162,24";"0,00";
"18160573000148 - EVOLUTION SPT";"ABERTO";"BOLETO";"NEGATIVAÇÃO";"186803";"09/10/2025";;"166,70";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"255001";"11/10/2025";;"1.631,88";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"255201";"11/10/2025";;"1.494,55";"0,00";
"11200595000145_JURONG";"ABERTO";"TRANSF. BANCÁRIA";"EM NEGOCIAÇÃO";"267401";"30/10/2025";;"7.071,66";"0,00";
"13270520000166 KORA SAUDE";"ABERTO";"BOLETO";"PROTESTO";"279901";"31/10/2025";;"2.082,00";"0,00";
